car_ID,symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,price,marque,modele,city L/100km,highway L/100km
1,3,essence,std,2,convertible,propulsion,avant,225.04399999999998,428.752,162.814,123.952,1155.75335876,dohc,4,2.1303183199999998,mpfi,3.47,2.68,9.0,111,5000,13495.0,alfa-romero,giulia,11.200476190476191,8.711481481481481
2,3,essence,std,2,convertible,propulsion,avant,225.04399999999998,428.752,162.814,123.952,1155.75335876,dohc,4,2.1303183199999998,mpfi,3.47,2.68,9.0,111,5000,16500.0,alfa-romero,stelvio,11.200476190476191,8.711481481481481
3,1,essence,std,2,hayon,propulsion,avant,240.03,434.84799999999996,166.37,133.096,1280.49126051,ohcv,6,2.490833728,mpfi,2.68,3.47,9.0,154,5000,16500.0,alfa-romero,Quadrifoglio,12.379473684210527,9.046538461538463
4,2,essence,std,4,berline,traction,avant,253.492,448.56399999999996,168.148,137.922,1060.04536869,ohc,4,1.786189976,mpfi,3.19,3.4,10.0,102,5500,13950.0,audi,100ls,9.800416666666667,7.840333333333334
5,2,essence,std,4,berline,quatre roues motrices,avant,252.47600000000003,448.56399999999996,168.656,137.922,1280.94485288,ohc,5,2.228640704,mpfi,3.19,3.4,8.0,115,5500,17450.0,audi,100ls,13.067222222222222,10.691363636363636
6,2,essence,std,2,berline,traction,avant,253.492,450.34200000000004,168.402,134.874,1137.15607159,ohc,5,2.228640704,mpfi,3.19,3.4,8.5,110,5500,15250.0,audi,fox,12.379473684210527,9.4084
7,1,essence,std,4,berline,traction,avant,268.73199999999997,489.45799999999997,181.35600000000002,141.478,1290.0167002800001,ohc,5,2.228640704,mpfi,3.19,3.4,8.5,110,5500,17710.0,audi,100ls,12.379473684210527,9.4084
8,1,essence,std,4,break,traction,avant,268.73199999999997,489.45799999999997,181.35600000000002,141.478,1339.91186098,ohc,5,2.228640704,mpfi,3.19,3.4,8.5,110,5500,18920.0,audi,5000,12.379473684210527,9.4084
9,1,essence,turbo,4,berline,traction,avant,268.73199999999997,489.45799999999997,181.35600000000002,141.986,1399.78605382,ohc,5,2.146705384,mpfi,3.13,3.4,8.3,140,5500,23875.0,audi,4000,13.835882352941177,11.7605
10,0,essence,turbo,2,hayon,quatre roues motrices,avant,252.73,452.628,172.466,132.08,1384.8175056100001,ohc,5,2.146705384,mpfi,3.13,3.4,7.0,160,5500,17859.167,audi,5000s(diesel),14.700625,10.691363636363636
11,2,essence,std,2,berline,propulsion,avant,257.048,449.07200000000006,164.59199999999998,137.922,1086.35372615,ohc,4,1.769802912,mpfi,3.5,2.8,8.8,101,5800,16430.0,bmw,320i,10.226521739130435,8.110689655172415
12,0,essence,std,4,berline,propulsion,avant,257.048,449.07200000000006,164.59199999999998,137.922,1086.35372615,ohc,4,1.769802912,mpfi,3.5,2.8,8.8,101,5800,16925.0,bmw,320i,10.226521739130435,8.110689655172415
13,0,essence,std,2,berline,propulsion,avant,257.048,449.07200000000006,164.59199999999998,137.922,1229.2353227,ohc,6,2.6874784959999998,mpfi,3.31,3.19,9.0,121,4250,20970.0,bmw,x1,11.200476190476191,8.400357142857143
14,0,essence,std,4,berline,propulsion,avant,257.048,449.07200000000006,164.59199999999998,137.922,1254.18290305,ohc,6,2.6874784959999998,mpfi,3.31,3.19,9.0,121,4250,21105.0,bmw,x3,11.200476190476191,8.400357142857143
15,1,essence,std,4,berline,propulsion,avant,262.89,480.06,169.92600000000002,141.478,1385.7246903500002,ohc,6,2.6874784959999998,mpfi,3.31,3.19,9.0,121,4250,24565.0,bmw,z4,11.7605,9.4084
16,0,essence,std,4,berline,propulsion,avant,262.89,480.06,169.92600000000002,141.478,1465.1033551,ohc,6,3.424896376,mpfi,3.62,3.39,8.0,182,5400,30760.0,bmw,x4,14.700625,10.691363636363636
17,0,essence,std,2,berline,propulsion,avant,262.89,492.252,172.466,136.398,1533.1422106,ohc,6,3.424896376,mpfi,3.62,3.39,8.0,182,5400,41315.0,bmw,x5,14.700625,10.691363636363636
18,0,essence,std,4,berline,propulsion,avant,279.4,500.38,180.086,143.00199999999998,1589.84125685,ohc,6,3.424896376,mpfi,3.62,3.39,8.0,182,5400,36880.0,bmw,x3,15.680666666666667,11.7605
19,2,essence,std,2,hayon,traction,avant,224.53600000000003,358.394,153.162,135.12800000000001,674.94544656,l,3,0.999610904,2bbl,2.91,3.03,9.5,48,5100,5151.0,chevrolet,impala,5.004468085106383,4.437924528301887
20,1,essence,std,2,hayon,traction,avant,240.03,395.98600000000005,161.544,132.08,850.0321013800001,ohc,4,1.47483576,2bbl,3.03,3.11,9.6,70,5400,6295.0,chevrolet,montecarlo,6.189736842105264,5.47
21,0,essence,std,4,berline,traction,avant,240.03,403.35200000000003,161.544,132.08,865.90783433,ohc,4,1.47483576,2bbl,3.03,3.11,9.6,70,5400,6575.0,chevrolet,vega2300,6.189736842105264,5.47
22,1,essence,std,2,hayon,traction,avant,237.99800000000002,399.54200000000003,162.052,129.03199999999998,850.93928612,ohc,4,1.47483576,2bbl,2.97,3.23,9.41,68,5500,5572.0,dodge,rampage,6.357027027027027,5.736829268292683
23,1,essence,std,2,hayon,traction,avant,237.99800000000002,399.54200000000003,162.052,129.03199999999998,850.93928612,ohc,4,1.47483576,2bbl,2.97,3.23,9.4,68,5500,6377.0,dodge,challengerse,7.58741935483871,6.189736842105264
24,1,essence,turbo,2,hayon,traction,avant,237.99800000000002,399.54200000000003,162.052,129.03199999999998,965.24456336,ohc,4,1.605932272,mpfi,3.03,3.39,7.6,102,5500,7957.0,dodge,d200,9.800416666666667,7.840333333333334
25,1,essence,std,4,hayon,traction,avant,237.99800000000002,399.54200000000003,162.052,128.524,892.21619179,ohc,4,1.47483576,2bbl,2.97,3.23,9.4,68,5500,6229.0,dodge,monaco(sw),7.58741935483871,6.189736842105264
26,1,essence,std,4,berline,traction,avant,237.99800000000002,399.54200000000003,162.052,128.524,902.19522393,ohc,4,1.47483576,2bbl,2.97,3.23,9.4,68,5500,6692.0,dodge,colthardtop,7.58741935483871,6.189736842105264
27,1,essence,std,4,berline,traction,avant,237.99800000000002,399.54200000000003,162.052,128.524,902.19522393,ohc,4,1.47483576,2bbl,2.97,3.23,9.4,68,5500,7609.0,dodge,colt(sw),7.58741935483871,6.189736842105264
28,1,essence,turbo,2,berline,traction,avant,237.99800000000002,399.54200000000003,162.052,128.524,993.8208826700001,ohc,4,1.605932272,mpfi,3.03,3.39,7.6,102,5500,8558.0,dodge,coronetcustom,9.800416666666667,7.840333333333334
29,-1,essence,std,4,break,traction,avant,262.382,443.484,164.08399999999997,151.892,1149.85665795,ohc,4,1.999221808,2bbl,3.34,3.46,8.5,88,5000,8921.0,dodge,dartcustom,9.800416666666667,7.840333333333334
30,3,essence,turbo,2,hayon,traction,avant,243.586,439.928,168.402,127.50800000000001,1275.04815207,ohc,4,2.556381984,mfi,3.6,3.9,7.0,145,5000,12964.0,dodge,coronetcustom(sw),12.379473684210527,9.800416666666667
31,2,essence,std,2,hayon,traction,avant,219.964,367.284,162.306,129.03199999999998,777.0037298100001,ohc,4,1.507609888,1bbl,2.91,3.41,9.6,58,4800,6479.0,honda,civic,4.800204081632653,4.355740740740741
32,2,essence,std,2,hayon,traction,avant,219.964,367.284,162.306,129.03199999999998,825.08452103,ohc,4,1.507609888,1bbl,2.91,3.41,9.2,76,6000,6855.0,honda,civiccvcc,7.58741935483871,6.189736842105264
33,1,essence,std,2,hayon,traction,avant,237.99800000000002,381.0,162.56,133.604,833.24918369,ohc,4,1.294578056,1bbl,2.91,3.07,10.1,60,5500,5399.0,honda,civic,6.189736842105264,5.600238095238096
34,1,essence,std,2,hayon,traction,avant,237.99800000000002,381.0,162.56,133.604,879.9691978000001,ohc,4,1.507609888,1bbl,2.91,3.41,9.2,76,6000,6529.0,honda,accordcvcc,7.840333333333334,6.917941176470588
35,1,essence,std,2,hayon,traction,avant,237.99800000000002,381.0,162.56,133.604,887.22667572,ohc,4,1.507609888,1bbl,2.91,3.41,9.2,76,6000,7129.0,honda,civiccvcc,7.840333333333334,6.917941176470588
36,0,essence,std,4,berline,traction,avant,245.11,415.036,162.56,138.43,911.7206637,ohc,4,1.507609888,1bbl,2.91,3.41,9.2,76,6000,7295.0,honda,accordlx,7.840333333333334,6.917941176470588
37,0,essence,std,4,break,traction,avant,245.11,399.034,162.306,148.082,918.07095688,ohc,4,1.507609888,1bbl,2.92,3.41,9.2,76,6000,7295.0,honda,civic1500gl,7.840333333333334,6.917941176470588
38,0,essence,std,2,hayon,traction,avant,245.11,425.45,165.608,135.382,1014.23253932,ohc,4,1.80257704,1bbl,3.15,3.58,9.0,86,5800,7895.0,honda,accord,8.711481481481481,7.127575757575758
39,0,essence,std,2,hayon,traction,avant,245.11,425.45,165.608,135.382,1038.27293493,ohc,4,1.80257704,1bbl,3.15,3.58,9.0,86,5800,9095.0,honda,civic1300,8.711481481481481,7.127575757575758
40,0,essence,std,4,berline,traction,avant,245.11,445.516,165.608,137.41400000000002,1045.0768204800002,ohc,4,1.80257704,1bbl,3.15,3.58,9.0,86,5800,8845.0,honda,prelude,8.711481481481481,7.127575757575758
41,0,essence,std,4,berline,traction,avant,245.11,445.516,158.75,137.41400000000002,1075.92110164,ohc,4,1.80257704,1bbl,3.15,3.58,9.0,86,5800,10295.0,honda,accord,8.711481481481481,7.127575757575758
42,0,essence,std,4,berline,traction,avant,245.11,445.516,165.608,137.41400000000002,1118.1051920500001,ohc,4,1.80257704,mpfi,3.15,3.58,9.0,101,5800,12945.0,honda,civic,9.800416666666667,8.400357142857143
43,1,essence,std,2,berline,traction,avant,245.11,429.514,167.64000000000001,129.54,1040.0873044100001,ohc,4,1.80257704,2bbl,3.15,3.58,9.1,100,5500,10345.0,honda,civic(auto),9.4084,7.58741935483871
44,0,essence,std,4,berline,propulsion,avant,239.522,433.578,156.972,135.89000000000001,1060.04536869,ohc,4,1.818964104,2bbl,3.31,3.23,8.5,78,4800,6785.0,isuzu,MU-X,9.800416666666667,8.110689655172415
45,1,essence,std,2,berline,traction,avant,240.03,395.98600000000005,161.544,132.08,850.0321013800001,ohc,4,1.47483576,2bbl,3.03,3.11,9.6,70,5400,8916.5,isuzu,D-Max,6.189736842105264,5.47
46,0,essence,std,4,berline,traction,avant,240.03,395.98600000000005,161.544,132.08,865.90783433,ohc,4,1.47483576,2bbl,3.03,3.11,9.6,70,5400,8916.5,isuzu,D-MaxV-Cross,6.189736842105264,5.47
47,2,essence,std,2,hayon,propulsion,avant,243.84,438.404,165.608,130.556,1240.12153958,ohc,4,1.950060616,spfi,3.43,3.23,9.2,90,5000,11048.0,isuzu,D-Max,9.800416666666667,8.110689655172415
48,0,essence,std,4,berline,propulsion,avant,287.02,506.984,176.784,134.112,1844.30657642,dohc,6,4.227862512,mpfi,3.63,4.17,8.1,176,4750,32250.0,jaguar,xj,15.680666666666667,12.379473684210527
49,0,essence,std,4,berline,propulsion,avant,287.02,506.984,176.784,134.112,1844.30657642,dohc,6,4.227862512,mpfi,3.63,4.17,8.1,176,4750,35550.0,jaguar,xf,15.680666666666667,12.379473684210527
50,0,essence,std,2,berline,propulsion,avant,259.08,486.91799999999995,179.32399999999998,121.41199999999999,1791.6898615,ohcv,12,5.342182864,mpfi,3.54,2.76,11.5,262,5000,36000.0,jaguar,xk,18.093076923076925,13.835882352941177
51,1,essence,std,2,hayon,traction,avant,236.474,404.114,163.068,137.41400000000002,857.2895793,ohc,4,1.491222824,2bbl,3.03,3.15,9.0,68,5000,5195.0,mazda,rx3,7.840333333333334,7.58741935483871
52,1,essence,std,2,hayon,traction,avant,236.474,404.114,163.068,137.41400000000002,861.825503,ohc,4,1.491222824,2bbl,3.03,3.15,9.0,68,5000,6095.0,mazda,glcdeluxe,7.58741935483871,6.189736842105264
53,1,essence,std,2,hayon,traction,avant,236.474,404.114,163.068,137.41400000000002,864.09346485,ohc,4,1.491222824,2bbl,3.03,3.15,9.0,68,5000,6795.0,mazda,rx2coupe,7.58741935483871,6.189736842105264
54,1,essence,std,4,berline,traction,avant,236.474,423.672,163.068,137.41400000000002,882.2371596500001,ohc,4,1.491222824,2bbl,3.03,3.15,9.0,68,5000,6695.0,mazda,rx-4,7.58741935483871,6.189736842105264
55,1,essence,std,4,berline,traction,avant,236.474,423.672,163.068,137.41400000000002,884.5051215000001,ohc,4,1.491222824,2bbl,3.08,3.15,9.0,68,5000,7395.0,mazda,glcdeluxe,7.58741935483871,6.189736842105264
56,3,essence,std,2,hayon,propulsion,avant,242.06199999999998,429.26,166.87800000000001,125.98400000000001,1079.5498406000002,rotor,2,1.14709448,4bbl,3.33,3.255,9.4,101,6000,10945.0,mazda,626,13.835882352941177,10.226521739130435
57,3,essence,std,2,hayon,propulsion,avant,242.06199999999998,429.26,166.87800000000001,125.98400000000001,1079.5498406000002,rotor,2,1.14709448,4bbl,3.33,3.255,9.4,101,6000,11845.0,mazda,glc,13.835882352941177,10.226521739130435
58,3,essence,std,2,hayon,propulsion,avant,242.06199999999998,429.26,166.87800000000001,125.98400000000001,1081.81780245,rotor,2,1.14709448,4bbl,3.33,3.255,9.4,101,6000,13645.0,mazda,rx-7gs,13.835882352941177,10.226521739130435
59,3,essence,std,2,hayon,propulsion,avant,242.06199999999998,429.26,166.87800000000001,125.98400000000001,1133.980925,rotor,2,1.31096512,mpfi,3.33,3.255,9.4,135,6000,15645.0,mazda,glc4,14.700625,10.226521739130435
60,1,essence,std,2,hayon,traction,avant,250.952,451.612,168.91,136.398,1081.81780245,ohc,4,1.999221808,2bbl,3.39,3.39,8.6,84,4800,8845.0,mazda,626,9.046538461538463,7.3503125
61,0,essence,std,4,berline,traction,avant,250.952,451.612,168.91,140.97,1093.1576117,ohc,4,1.999221808,2bbl,3.39,3.39,8.6,84,4800,8495.0,mazda,glccustoml,9.046538461538463,7.3503125
62,1,essence,std,2,hayon,traction,avant,250.952,451.612,168.91,136.398,1081.81780245,ohc,4,1.999221808,2bbl,3.39,3.39,8.6,84,4800,10595.0,mazda,glccustom,9.046538461538463,7.3503125
63,0,essence,std,4,berline,traction,avant,250.952,451.612,168.91,140.97,1093.1576117,ohc,4,1.999221808,2bbl,3.39,3.39,8.6,84,4800,10245.0,mazda,rx-4,9.046538461538463,7.3503125
64,0,diesel,std,4,berline,traction,avant,250.952,451.612,168.91,140.97,1108.12615991,ohc,4,1.999221808,idi,3.39,3.39,22.7,64,4650,10795.0,mazda,glcdeluxe,6.533611111111111,5.600238095238096
65,0,essence,std,4,hayon,traction,avant,250.952,451.612,168.91,140.97,1099.96149725,ohc,4,1.999221808,2bbl,3.39,3.39,8.6,84,4800,11245.0,mazda,626,9.046538461538463,7.3503125
66,0,essence,std,4,berline,propulsion,avant,266.446,444.5,167.89399999999998,138.176,1211.0916279,ohc,4,2.29418896,mpfi,3.76,3.16,8.0,120,5000,18280.0,mazda,glc,12.379473684210527,8.711481481481481
67,0,diesel,std,4,berline,propulsion,avant,266.446,444.5,167.89399999999998,138.176,1224.699399,ohc,4,2.195866576,idi,3.43,3.64,22.0,72,4200,18344.0,mazda,rx-7gs,7.58741935483871,6.031025641025641
68,-1,diesel,turbo,4,berline,propulsion,avant,279.4,484.886,178.56199999999998,143.51,1594.37718055,ohc,5,2.998832712,idi,3.58,3.64,21.5,123,4350,25552.0,buick,electra225custom,10.691363636363636,9.4084
69,-1,diesel,turbo,4,break,propulsion,avant,279.4,484.886,178.56199999999998,149.098,1700.9713875,ohc,5,2.998832712,idi,3.58,3.64,21.5,123,4350,28248.0,buick,centuryluxus(sw),10.691363636363636,9.4084
70,0,diesel,turbo,2,toit rigide,propulsion,avant,271.01800000000003,476.25,178.56199999999998,139.446,1585.30533315,ohc,5,2.998832712,idi,3.58,3.64,21.5,123,4350,28176.0,buick,century,10.691363636363636,9.4084
71,-1,diesel,turbo,4,berline,propulsion,avant,293.62399999999997,514.604,182.11800000000002,143.00199999999998,1710.0432349,ohc,5,2.998832712,idi,3.58,3.64,21.5,123,4350,31600.0,buick,skyhawk,10.691363636363636,9.4084
72,-1,essence,std,4,berline,propulsion,avant,293.62399999999997,514.604,182.11800000000002,143.51,1696.4354638,ohcv,8,3.834572976,mpfi,3.46,3.1,8.3,155,4750,34184.0,buick,opelisuzudeluxe,14.700625,13.067222222222222
73,3,essence,std,2,convertible,propulsion,avant,245.36399999999998,457.96200000000005,179.07,129.03199999999998,1671.48788345,ohcv,8,3.834572976,mpfi,3.46,3.1,8.3,155,4750,35056.0,buick,skylark,14.700625,13.067222222222222
74,0,essence,std,4,berline,propulsion,avant,307.086,528.574,182.11800000000002,144.018,1769.0102430000002,ohcv,8,5.047215712,mpfi,3.8,3.35,8.0,184,4500,40960.0,buick,centuryspecial,16.800714285714285,14.700625
75,1,essence,std,2,toit rigide,propulsion,avant,284.48,505.96799999999996,182.88,140.716,1685.09565455,ohcv,8,4.981667456,mpfi,3.8,3.35,8.0,184,4500,45400.0,buick,regalsportcoupe(turbo),16.800714285714285,14.700625
76,1,essence,turbo,2,hayon,propulsion,avant,260.858,453.136,172.72,139.192,1319.9537967,ohc,4,2.29418896,mpfi,3.78,3.12,8.0,175,5000,16503.0,mercury,cougar,12.379473684210527,9.800416666666667
77,2,essence,std,2,hayon,traction,avant,237.99800000000002,399.54200000000003,163.57600000000002,129.03199999999998,869.99016566,ohc,4,1.507609888,2bbl,2.97,3.23,9.4,68,5500,5389.0,mitsubishi,mirage,6.357027027027027,5.736829268292683
78,2,essence,std,2,hayon,traction,avant,237.99800000000002,399.54200000000003,163.57600000000002,129.03199999999998,881.78356728,ohc,4,1.507609888,2bbl,2.97,3.23,9.4,68,5500,6189.0,mitsubishi,lancer,7.58741935483871,6.189736842105264
79,2,essence,std,2,hayon,traction,avant,237.99800000000002,399.54200000000003,163.57600000000002,129.03199999999998,908.99910948,ohc,4,1.507609888,2bbl,2.97,3.23,9.4,68,5500,6669.0,mitsubishi,outlander,7.58741935483871,6.189736842105264
80,1,essence,turbo,2,hayon,traction,avant,236.22,399.54200000000003,162.052,129.03199999999998,972.9556336500001,ohc,4,1.605932272,spdi,3.03,3.39,7.6,102,5500,7689.0,mitsubishi,g4,9.800416666666667,7.840333333333334
81,3,essence,turbo,2,hayon,traction,avant,244.602,439.42,166.116,125.476,1075.0139169000001,ohc,4,1.80257704,spdi,3.17,3.46,7.5,116,5500,9959.0,mitsubishi,mirageg4,10.226521739130435,7.840333333333334
82,3,essence,std,2,hayon,traction,avant,244.602,439.42,166.116,125.476,1055.96303736,ohc,4,1.999221808,2bbl,3.35,3.46,8.5,88,5000,8499.0,mitsubishi,g4,9.4084,7.3503125
83,3,essence,turbo,2,hayon,traction,avant,243.586,439.928,168.402,127.50800000000001,1285.02718421,ohc,4,2.556381984,spdi,3.58,3.86,7.0,145,5000,12629.0,mitsubishi,outlander,12.379473684210527,9.800416666666667
84,3,essence,turbo,2,hayon,traction,avant,243.586,439.928,168.402,127.50800000000001,1324.9433127700001,ohc,4,2.556381984,spdi,3.59,3.86,7.0,145,5000,14869.0,mitsubishi,g4,12.379473684210527,9.800416666666667
85,3,essence,turbo,2,hayon,traction,avant,243.586,439.928,168.402,127.50800000000001,1327.21127462,ohc,4,2.556381984,spdi,3.59,3.86,7.0,145,5000,14489.0,mitsubishi,mirageg4,12.379473684210527,9.800416666666667
86,1,essence,std,4,berline,traction,avant,244.602,437.896,166.116,131.064,1072.74595505,ohc,4,1.999221808,2bbl,3.35,3.46,8.5,88,5000,6989.0,mitsubishi,montero,9.4084,7.3503125
87,1,essence,std,4,berline,traction,avant,244.602,437.896,166.116,131.064,1090.88964985,ohc,4,1.999221808,2bbl,3.35,3.46,8.5,88,5000,8189.0,mitsubishi,pajero,9.4084,7.3503125
88,1,essence,turbo,4,berline,traction,avant,244.602,437.896,166.116,131.064,1089.98246511,ohc,4,1.80257704,spdi,3.17,3.46,7.5,116,5500,9279.0,mitsubishi,outlander,10.226521739130435,7.840333333333334
89,-1,essence,std,4,berline,traction,avant,244.602,437.896,166.116,131.064,1089.98246511,ohc,4,1.80257704,spdi,3.17,3.46,7.5,116,5500,9279.0,mitsubishi,mirageg4,10.226521739130435,7.840333333333334
90,1,essence,std,2,berline,traction,avant,240.03,419.862,162.052,138.43,856.83598693,ohc,4,1.5895452079999999,2bbl,3.15,3.29,9.4,69,5200,5499.0,nissan,versa,7.58741935483871,6.357027027027027
91,1,diesel,std,2,berline,traction,avant,240.03,419.862,162.052,138.43,914.8958102900001,ohc,4,1.687867592,idi,2.99,3.47,21.9,55,4800,7099.0,nissan,gt-r,5.226888888888889,4.7042
92,1,essence,std,2,berline,traction,avant,240.03,419.862,162.052,138.43,869.99016566,ohc,4,1.5895452079999999,2bbl,3.15,3.29,9.4,69,5200,6649.0,nissan,rogue,7.58741935483871,6.357027027027027
93,1,essence,std,4,berline,traction,avant,240.03,419.862,162.052,138.43,879.06201306,ohc,4,1.5895452079999999,2bbl,3.15,3.29,9.4,69,5200,6849.0,nissan,latio,7.58741935483871,6.357027027027027
94,1,essence,std,4,break,traction,avant,240.03,432.308,162.052,135.89000000000001,918.07095688,ohc,4,1.5895452079999999,2bbl,3.15,3.29,9.4,69,5200,7349.0,nissan,titan,7.58741935483871,6.357027027027027
95,1,essence,std,2,berline,traction,avant,240.03,419.862,162.052,138.43,884.95871387,ohc,4,1.5895452079999999,2bbl,3.15,3.29,9.4,69,5200,7299.0,nissan,leaf,7.58741935483871,6.357027027027027
96,1,essence,std,2,hayon,traction,avant,240.03,420.62399999999997,162.052,135.382,919.88532636,ohc,4,1.5895452079999999,2bbl,3.15,3.29,9.4,69,5200,7799.0,nissan,juke,7.58741935483871,6.357027027027027
97,1,essence,std,4,berline,traction,avant,240.03,419.862,162.052,138.43,894.03056127,ohc,4,1.5895452079999999,2bbl,3.15,3.29,9.4,69,5200,7499.0,nissan,latio,7.58741935483871,6.357027027027027
98,1,essence,std,4,break,traction,avant,240.03,432.308,162.052,135.89000000000001,923.96765769,ohc,4,1.5895452079999999,2bbl,3.15,3.29,9.4,69,5200,7999.0,nissan,note,7.58741935483871,6.357027027027027
99,2,essence,std,2,toit rigide,traction,avant,241.554,412.49600000000004,162.052,135.382,910.81347896,ohc,4,1.5895452079999999,2bbl,3.15,3.29,9.4,69,5200,8249.0,nissan,clipper,7.58741935483871,6.357027027027027
100,0,essence,std,4,hayon,traction,avant,246.888,440.43600000000004,165.608,138.93800000000002,1054.14866788,ohc,4,1.96644768,2bbl,3.33,3.47,8.5,97,5200,8949.0,nissan,rogue,8.711481481481481,6.917941176470588
101,0,essence,std,4,berline,traction,avant,246.888,440.43600000000004,165.608,138.93800000000002,1044.16963574,ohc,4,1.96644768,2bbl,3.33,3.47,8.5,97,5200,9549.0,nissan,nv200,8.711481481481481,6.917941176470588
102,0,essence,std,4,berline,traction,avant,255.01600000000002,461.518,168.91,139.954,1403.86838515,ohcv,6,2.9660585839999998,mpfi,3.43,3.27,9.0,152,5200,13499.0,nissan,dayz,13.835882352941177,10.691363636363636
